time,theta,omega

0,0.1,0
0.05,0.1,-0.04900000000000001
0.1,0.09755,-0.09800000000000002
0.15000000000000002,0.09265,-0.14579950000000003
0.2,0.08536002499999999,-0.19119800000000003
0.25,0.075800125,-0.23302441225000003
0.3,0.0641489043875,-0.27016647350000006
0.35,0.050640580712499994,-0.30159943664987504
0.39999999999999997,0.03556060888000624,-0.326413321199
0.44999999999999996,0.01923994282005624,-0.3438380195502031
0.49999999999999994,0.0020480418425460854,-0.35326559153203063
0.5499999999999999,-0.015615237734055445,-0.3542691320348782
0.6,-0.03332869433579935,-0.346617665545191
0.65,-0.050659577613058906,-0.33028660532064935
0.7000000000000001,-0.06717390787909137,-0.3054634122902505
0.7500000000000001,-0.0824470784936039,-0.2725481974294957
0.8000000000000002,-0.09607448836507869,-0.2321491289676298
0.8500000000000002,-0.10768194481346018,-0.18507262966874122
0.9000000000000002,-0.11693557629689724,-0.13230847671014573
0.9500000000000003,-0.12355100013240453,-0.07501004432466607
1.0000000000000002,-0.12730150234863782,-0.01447005425978784
1.0500000000000003,-0.12802500506162723,0.047907681891044704
1.1000000000000003,-0.125629620967075,0.11063993437124206
1.1500000000000004,-0.12009762424851289,0.17219844864510883
1.2000000000000004,-0.11148770181625745,0.23104628452688014
1.2500000000000004,-0.09993538758991344,0.28567525841684627
1.3000000000000005,-0.08565162466907113,0.33464359833590385
1.3500000000000005,-0.06891944475227593,0.3766128944237487
1.4000000000000006,-0.050088800031088496,0.4103834223523639
1.4500000000000006,-0.0295696289134703,0.4349269343675973
1.5000000000000007,-0.007823282195090434,0.44941605253519773
1.5500000000000007,0.014647520431669454,0.45324946081079204
1.6000000000000008,0.037309993472209056,0.446072175799274
1.6500000000000008,0.05961360226217276,0.42779027899789157
1.7000000000000008,0.08100311621206734,0.3985796138894269
1.7500000000000009,0.10093209690653868,0.35888808694551394
1.800000000000001,0.11887650125381438,0.30943135946130995
1.850000000000001,0.1343480692268799,0.2511818738469409
1.900000000000001,0.14690716291922692,0.18535131992576975
1.950000000000001,0.15617472891551543,0.11336681009534856
2.000000000000001,0.16184306942028284,0.036841192926745994
2.0500000000000007,0.16368512906662014,-0.0424619110891926
2.1000000000000005,0.1615620335121605,-0.12266762433183648
2.1500000000000004,0.15542865229556868,-0.20183302075279513
2.2,0.14533700125792892,-0.2779930603776238
2.25,0.13143734823904774,-0.34920819099400896
2.3,0.11397693868934729,-0.41361249163114233
2.3499999999999996,0.09329631410779017,-0.4694611915889225
2.3999999999999995,0.06982325452834404,-0.5151763855017397
2.4499999999999993,0.04406443525325705,-0.5493897802206283
2.499999999999999,0.016594946242225635,-0.5709813534947243
2.549999999999999,-0.011954121432510584,-0.5791128771534149
2.5999999999999988,-0.040909765290181324,-0.5732553576514847
2.6499999999999986,-0.06957253317275557,-0.5532095726592958
2.6999999999999984,-0.09723301180572036,-0.5191190314046455
2.7499999999999982,-0.12318896337595264,-0.4714748556198426
2.799999999999998,-0.14676270615694478,-0.4111122635656258
2.849999999999998,-0.16731831933522606,-0.33919853754872287
2.8999999999999977,-0.1842782462126622,-0.2572125610744621
2.9499999999999975,-0.1971388742663853,-0.1669162204302576
2.9999999999999973,-0.20548468528789818,-0.0703181720397288
3.049999999999997,-0.20900059388988462,0.030369323751341326
3.099999999999997,-0.20748212770231755,0.1327796147573848
3.149999999999997,-0.20084314696444833,0.23444585733152043
3.1999999999999966,-0.1891208540978723,0.3328589993441001
3.2499999999999964,-0.1724779041306673,0.4255282178520576
3.2999999999999963,-0.15120149323806442,0.5100423908760846
3.349999999999996,-0.12569937369426018,0.5841311225627361
3.399999999999996,-0.09649281756612338,0.6457238156729236
3.4499999999999957,-0.0642066267824772,0.693005296280324
3.4999999999999956,-0.029556361968460995,0.7244665434037378
3.5499999999999954,0.006666965201725897,0.7389491607682838
3.599999999999995,0.04361442324014009,0.7356823478194381
3.649999999999995,0.08039854063111199,0.7143112804317694
3.699999999999995,0.11611410465270046,0.6749159955225246
3.7499999999999947,0.14985990442882668,0.6180200842427014
3.7999999999999945,0.18076090864096175,0.5445887310725763
3.8499999999999943,0.2079903451945906,0.45601588583850505
3.899999999999994,0.23079113948651583,0.3541006166931557
3.949999999999994,0.2484961703211736,0.2410129583447629
3.999999999999994,0.26054681823841175,0.11924983488738783
4.049999999999994,0.26650930998278116,-0.008418106049433938
4.099999999999993,0.2660884046803095,-0.13900766794099673
4.149999999999993,0.25913802128325963,-0.26939098623434843
4.199999999999993,0.2456684719715422,-0.3963686166631457
4.249999999999993,0.22585004113838492,-0.5167461679292014
4.299999999999993,0.20001273274192485,-0.62741268808701
4.3499999999999925,0.16864209833757435,-0.7254189271305532
4.399999999999992,0.13237115198104668,-0.8080535553159647
4.449999999999992,0.09196847421524845,-0.8729154197866775
4.499999999999992,0.04832270322591457,-0.9179799721521493
4.549999999999992,0.0024237046183071057,-0.9416580967328475
4.599999999999992,-0.04465920021833527,-0.942845711995818
4.6499999999999915,-0.09180148581812617,-0.9209627038888337
4.699999999999991,-0.13784962101256787,-0.8759799758379518
4.749999999999991,-0.18164861980446545,-0.8084336615417935
4.799999999999991,-0.22207030288155513,-0.7194258378376055
4.849999999999991,-0.2580415947734354,-0.6106113894256435
4.899999999999991,-0.2885721642447176,-0.48417100798666013
4.94999999999999,-0.3127807146440506,-0.34277064750674846
4.99999999999999,-0.329919247019388,-0.18950809733116364
5.04999999999999,-0.3393946518859462,-0.027847666291663492
5.09999999999999,-0.3407870352005294,0.13845571313245017
5.14999999999999,-0.33386424954390687,0.30544136038070957
