,GTM,BGR,ARE,ISR,TZA,CZE,NOR,GEO,ARG,GUY,MNE,PRT,MKD,NAM,PRY,SAU,LVA,MAR,MWI,KOR,BHR,VNM,DZA,LBN,ZWE,SWZ,ISL,HKG,TUR,RUS,AND,DNK,GRC,MYS,LKA,ESP,CHN,HUN,BEL,BOL,CHE,SVK,ROU,UZB,POL,NIC,URY,ZMB,JAM,BRB,PAK,ZAF,MNG,BWA,TUN,NZL,IRL,AZE,CRI,KAZ,PHL,DEU,DOM,MEX,BRN,MDA,BRA,HND,SEN,KEN,LCA,SLV,BLR,AUS,NLD,USA,MLT,SRB,UKR,EGY,LSO,AUT,EST,FRA,HRV,LUX,COL,IDN,ITA,GBR,ECU,FIN,MDG,CIV,IND,SGP,SVN,CAN,LTU,CYP,PER,BIH,CHL,JPN,SWE
MNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,0.0,0.0001686730531024707,0.00015784699647195192,0.004710397301042384,0.0,0.0009421046657750281,7.33967451260731e-05,4.059160092711439e-08,0.0,0.0,0.0,0.0004224939743629336,1.5057904816851773e-09,0.0,0.0,0.0,5.108538275180503e-06,0.0005812233846743204,0.0,0.04797455524901188,0.0,0.01718099393646197,0.0,0.0,0.0,0.0,0.0,0.00642109970774009,8.573008550129132e-07,3.5331261845012826e-10,0.0,0.0003453064051229957,1.1736153200366958e-05,0.04977266009443314,7.384942720643974e-06,0.004178425667901551,0.005546001684933359,7.45336720602596e-06,0.0029608154826249694,0.0,0.001202603946824637,2.7317383505010107e-05,1.1365539956012956e-07,2.2827675780589074e-13,1.21366707597723e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2344881004442971e-05,0.0,0.0,9.502110632429579e-05,2.3232114434199347e-07,0.03148967630192279,0.0,0.00023711296276579985,0.0,0.027742551452281782,0.05093366184288873,0.0,4.5960190261346875e-06,0.0,0.0,2.0750780534877926e-09,2.4091742374644215e-09,0.0,3.225391049022809e-07,0.0,0.0,4.155140911066711e-05,2.687826450709048e-06,0.02218843359762052,0.05278671734607401,0.0015509474098314695,4.808892749359844e-07,2.1469428235671466e-07,0.0,0.0,0.003549198587453078,1.9443912114331082e-05,0.028444553370436863,1.649686955613636e-05,6.550419465516692e-06,0.0,0.0005359809514865681,0.00680772624837738,0.019905143525048977,0.0,7.677649955391929e-05,0.0,0.0,0.0005936666189842153,0.031249279031259295,1.4528179935775734e-05,5.397438721029118e-05,3.373202013963798e-05,0.0,0.0,6.852409874086255e-07,0.0,0.03313687906863379,5.625719921842782e-05
MKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,0.0,0.0005048649898428755,2.8446138170878812e-06,0.013545699070001305,0.0,0.00010160017354990416,5.290106627737342e-06,4.1340387167365094e-08,0.0,0.0,0.0,0.00019332485141681586,4.1430336113337586e-12,0.0,0.0,0.0,2.7880604847827142e-05,0.0005049994581335848,0.0,0.0018183661221342093,0.0,0.0011999053074511106,0.0,0.0,0.0,0.0,0.0,0.00020695926866420522,6.350187392918621e-08,2.8584346236122355e-12,0.0,8.002607954420161e-05,3.7198239739904014e-05,0.05818409719623461,1.7846484605494678e-08,2.326739253002644e-05,0.0004428727923723455,5.227137983622058e-06,0.003708271902942617,0.0,0.0009244123720466388,3.8446050742055766e-07,8.989080124491459e-09,1.3714829518139306e-15,1.8034947492937196e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.705756564999201e-07,0.0,0.0,9.740391546384746e-06,1.1143364530936518e-08,0.07487658053111863,0.0,4.711586574057538e-05,0.0,0.0018072999121710879,0.0009398270444333659,0.0,1.5390841493381552e-07,0.0,0.0,1.259692387014666e-10,5.3580507008240476e-11,0.0,9.785727819719962e-07,0.0,0.0,0.00034867231973709624,6.10735863234862e-08,0.0014093094873415249,0.21227031355850542,0.002261353243571046,8.701075426943589e-09,2.7202504236538174e-09,0.0,0.0,0.0002897907502521839,7.995914184560293e-06,0.005577232828631555,4.942356899478283e-05,1.0188808849101725e-07,0.0,0.0005212664771457174,0.004751361146813626,0.0037582638853559157,0.0,1.531772666735298e-05,0.0,0.0,0.00015676049049768051,0.05203845634906558,1.067144009202199e-06,2.3430032942081195e-06,2.729735811195591e-05,0.0,0.0,2.0506518546787235e-08,0.0,0.1305160739683651,1.4174783656902201e-05
