Country Code,shock
GTM,1.0
BGR,0.9957267670076981
ARE,0.8625734780392051
ISR,0.2462850955237093
TZA,1.0
CZE,0.06534621299704149
NOR,0.9982286953465356
GEO,0.9999987378575088
ARG,1.0
GUY,1.0
MNE,1.0
PRT,0.23440586256804136
MKD,0.9999999907162958
NAM,1.0
PRY,1.0
SAU,1.0
LVA,0.99985588288772
MAR,0.9894251306251818
MWI,1.0
KOR,0.022657467131584993
BHR,1.0
VNM,0.007120476673552608
DZA,1.0
LBN,1.0
ZWE,1.0
SWZ,1.0
ISL,1.0
HKG,0.0014639040686198635
TUR,0.332564533069033
RUS,0.007409332940339552
AND,1.0
DNK,0.5888096059060506
GRC,0.9997068980891404
MYS,0.043902345628496264
LKA,0.9999745845222099
ESP,0.1769234607357864
CHN,0.0009274375915502041
HUN,0.04802426082310622
BEL,0.5837221825681469
BOL,1.0
CHE,0.5110145514213755
SVK,0.23656144256325856
ROU,0.1005128986160504
UZB,0.999999999996666
POL,0.07821204965465839
NIC,1.0
URY,1.0
ZMB,1.0
JAM,1.0
BRB,1.0
PAK,1.0
ZAF,0.9219198901892116
MNG,1.0
BWA,1.0
TUN,0.6919715654388512
NZL,0.9999931491052803
IRL,0.5565791067934294
AZE,1.0
CRI,0.9928305752035649
KAZ,1.0
PHL,0.021119002946582643
DEU,0.016436249946103418
DOM,1.0
MEX,0.011896992896399335
BRN,1.0
MDA,1.0
BRA,0.028456265515462327
HND,0.9999998795690359
SEN,1.0
KEN,0.9999923452976776
LCA,1.0
SLV,1.0
BLR,0.9989734644724033
AUS,0.3444807939429231
NLD,0.017563527950005403
USA,0.011791383432651167
MLT,0.9672556899250488
SRB,0.9999899346695484
UKR,0.9999957615292938
EGY,1.0
LSO,1.0
AUT,0.2358201448875909
EST,0.34687311394613507
FRA,0.092373721419238
HRV,0.9995950348783302
LUX,0.9999588767755396
COL,1.0
IDN,0.1299700983219329
ITA,0.11165896474404474
GBR,0.16641420941229534
ECU,1.0
FIN,0.2679533155238204
MDG,1.0
CIV,1.0
IND,0.04924712037763626
SGP,0.012176628734133447
SVN,0.9998625033736759
CAN,0.11180470476874249
LTU,0.9993343063476643
CYP,1.0
PER,1.0
BIH,0.9999813234962851
CHL,1.0
JPN,0.07221439306306132
SWE,0.25310623088857387
