AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,43717.0,,6118162,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,POL,616,b'Poland',2015
,,,,0,25015.0,,2919687,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,POL,616,b'Poland',2015
,,,,0,2.0,0.0,2803,4,8542,Electronic integrated circuits,,,2,,,2015,2015,H4,CUB,,192,,b'Cuba',,,,1,No Quantity,2,Export,PRT,620,b'Portugal',2015
,,,,0,903.0,0.0,110804,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,1,Import,PRT,620,b'Portugal',2015
,,,,0,0.0,0.0,125,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,2,Export,PRT,620,b'Portugal',2015
,,,,0,86186.0,0.0,8326461,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,PRT,620,b'Portugal',2015
,,,,0,46.0,0.0,4383,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,PRT,620,b'Portugal',2015
,,,,0,297.0,0.0,26997,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,PRT,620,b'Portugal',2015
,,,,0,100.0,0.0,4142,4,8542,Electronic integrated circuits,,,2,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,PRT,620,b'Portugal',2015
,,,,0,1466.0,,1188194,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,QAT,634,b'Qatar',2015
,,,,0,128.0,,54145,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,QAT,634,b'Qatar',2015
,,,,0,590858.0,,22739554,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,ROU,642,b'Romania',2015
,,,,0,8035.0,,1045160,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,ROU,642,b'Romania',2015
,,,,0,347.0,,84101,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,ROU,642,b'Romania',2015
,,,,0,127.0,,25113,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,ROU,642,b'Romania',2015
,,,,0,9.0,,8872,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CUB,,192,,b'Cuba',,,,1,No Quantity,2,Export,RUS,643,b'Russian Federation',2015
,,,,0,0.0,,230,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,1,Import,RUS,643,b'Russian Federation',2015
,,,,0,147.0,,135775,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,RUS,643,b'Russian Federation',2015
,,,,0,149.0,,139823,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,RUS,643,b'Russian Federation',2015
,,,,0,16.0,,17459,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,RUS,643,b'Russian Federation',2015
,,,,0,0.0,,286,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,RUS,643,b'Russian Federation',2015
,,,,0,12673.0,,3543471,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,SAU,682,b'Saudi Arabia',2015
,,,,0,2.0,,318,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,BEN,,204,,b'Benin',,,,1,No Quantity,2,Export,SEN,686,b'Senegal',2015
,,,,0,33.0,,23945,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,SEN,686,b'Senegal',2015
,,,,0,409.0,,34549,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,SRB,688,b'Serbia',2015
,,,,0,1.0,,27,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,2,Export,SRB,688,b'Serbia',2015
,,,,0,1613.0,,426945,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,1,Import,SRB,688,b'Serbia',2015
,,,,0,25.0,,5404,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,DNK,,208,,b'Denmark',,,,1,No Quantity,2,Export,SRB,688,b'Serbia',2015
,,,,0,,,1076,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CYP,,196,,b'Cyprus',,,,1,No Quantity,2,Export,IND,699,b'India',2015
,,,,0,,,908945,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,CZE,,203,,b'Czechia',,,,1,No Quantity,1,Import,IND,699,b'India',2015
