AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,1.0,,214,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,ARG,32,b'Argentina',2013
,,,,0,0.0,,120,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,ARG,32,b'Argentina',2013
,,,,0,4.0,,1043,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,ARG,32,b'Argentina',2013
,,,,0,34.0,,7497,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,AUS,36,b'Australia',2013
,,,,0,15.0,0.0,2865,4,8542,Electronic integrated circuits,,,2,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2013
,,,,0,3.0,0.0,4702,4,8542,Electronic integrated circuits,,,6,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2013
,,,,0,1.0,,497,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2013
,,,,0,,,442128,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2013
,,,,0,1.0,,143,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,BIH,70,b'Bosnia Herzegovina',2013
,,,,0,2.0,,1727,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,BGR,100,b'Bulgaria',2013
,,,,0,2.0,,1000,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,BLR,112,b'Belarus',2013
,,,,0,,,205,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,CAN,124,b'Canada',2013
,,,,0,,,113720,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,CAN,124,b'Canada',2013
,,,,0,,,17438,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CAN,124,b'Canada',2013
,,,,0,0.0,,188,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,CHL,152,b'Chile',2013
,,,,0,0.0,,198,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,CHN,156,b'China',2013
,,,,0,5.0,,4856,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,CHN,156,b'China',2013
,,,,0,11.0,,11075,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,CHN,156,b'China',2013
,,,,0,17.0,,29597,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,CHN,156,b'China',2013
,,,,0,317.0,,98357,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CHN,156,b'China',2013
,,,,0,57.0,,18551,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,COL,170,b'Colombia',2013
,,,,0,2.0,,292,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,CRI,188,b'Costa Rica',2013
,,,,0,18.0,,6661,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,HRV,191,b'Croatia',2013
,,,,0,101.0,,26893,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,CZE,203,b'Czechia',2013
,,,,0,2.0,,291,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,CZE,203,b'Czechia',2013
,,,,0,27903.0,,9371728,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CZE,203,b'Czechia',2013
,,,,0,1173.0,,27751,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,DNK,208,b'Denmark',2013
,,,,0,1.0,,3960,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,FIN,246,b'Finland',2013
,,,,0,4.0,,1673,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,FRA,251,b'France',2013
,,,,0,8.0,,2492,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,FRA,251,b'France',2013
,,,,0,40105.0,,110894,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,FRA,251,b'France',2013
,,,,0,337.0,,37976,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,FRA,251,b'France',2013
,,,,0,173.0,,62840,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,FRA,251,b'France',2013
,,,,0,3548.0,,623809,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,FRA,251,b'France',2013
,,,,0,3.0,0.0,2466,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,DEU,276,b'Germany',2013
,,,,0,16.0,0.0,7327,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,DEU,276,b'Germany',2013
,,,,0,1.0,0.0,998,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,DEU,276,b'Germany',2013
,,,,0,110.0,0.0,41949,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,DEU,276,b'Germany',2013
,,,,0,261.0,0.0,193153,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,DEU,276,b'Germany',2013
,,,,0,1.0,,1507,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,GRC,300,b'Greece',2013
,,,,0,,,519280,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,HKG,344,"b'China, Hong Kong SAR'",2013
,,,,0,5.0,,1086,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,HUN,348,b'Hungary',2013
,,,,0,491.0,,119255,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,HUN,348,b'Hungary',2013
,,,,0,18.0,,1729,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,IDN,360,b'Indonesia',2013
,,,,0,0.0,0.0,47,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,IRL,372,b'Ireland',2013
,,,,0,1.0,0.0,196,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,IRL,372,b'Ireland',2013
,,,,0,5.0,,128972,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,ITA,381,b'Italy',2013
,,,,0,12459.0,,237055,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,ITA,381,b'Italy',2013
,,,,0,95193.0,,1366314,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,ITA,381,b'Italy',2013
,,,,0,244.0,,104687,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,ITA,381,b'Italy',2013
,,,,0,,,10093,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,JPN,392,b'Japan',2013
,,,,0,92.0,,72900,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,KOR,410,b'Rep. of Korea',2013
,,,,0,7.0,,1372,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,LUX,442,b'Luxembourg',2013
,,,,0,76.0,,26397,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,LUX,442,b'Luxembourg',2013
,,,,0,,,23270,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,MYS,458,b'Malaysia',2013
,,,,0,,,193,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,MEX,484,b'Mexico',2013
,,,,0,9.0,,941,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,,490,"b'Other Asia, nes'",2013
,,,,0,1.0,,437,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,,490,"b'Other Asia, nes'",2013
,,,,0,35.0,,14510,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ATA,,10,,b'Antarctica',,,,1,No Quantity,2,Export,,490,"b'Other Asia, nes'",2013
,,,,0,11.0,,3762,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,,490,"b'Other Asia, nes'",2013
,,,,0,3.0,,7361,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,NLD,528,b'Netherlands',2013
,,,,0,11.0,,1525,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,NLD,528,b'Netherlands',2013
,,,,0,133.0,,40206,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,NLD,528,b'Netherlands',2013
,,,,0,168.0,,33127,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,NLD,528,b'Netherlands',2013
,,,,0,0.0,0.0,8009,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,2,Export,NZL,554,b'New Zealand',2013
,,,,0,3.0,,793,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,NOR,579,b'Norway',2013
,,,,0,0.0,,26,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,POL,616,b'Poland',2013
,,,,0,1.0,,186,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,PRT,620,b'Portugal',2013
,,,,0,7.0,,1630,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,ROU,642,b'Romania',2013
,,,,0,1.0,,846,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,ROU,642,b'Romania',2013
,,,,0,2.0,,28734,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,RUS,643,b'Russian Federation',2013
,,,,0,,0.0,1317691,4,8542,Electronic integrated circuits,,,6,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,SGP,702,b'Singapore',2013
,,,,0,0.0,,23,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,SVK,703,b'Slovakia',2013
,,,,0,0.0,,106,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2013
,,,,0,2.0,,874,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,SVK,703,b'Slovakia',2013
,,,,0,1.0,,80,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,ESP,724,b'Spain',2013
,,,,0,10.0,,1982,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,ESP,724,b'Spain',2013
,,,,0,83.0,,29788,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,ESP,724,b'Spain',2013
,,,,0,28.0,,2303,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,SWE,752,b'Sweden',2013
,,,,0,2.0,,614,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,SWE,752,b'Sweden',2013
,,,,0,649.0,,188104,4,8542,Electronic integrated circuits,,,4,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,SWE,752,b'Sweden',2013
,,,,0,2.0,,2078,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,CHE,757,b'Switzerland',2013
,,,,0,100.0,,34398,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CHE,757,b'Switzerland',2013
,,,,0,5.0,,51,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,THA,764,b'Thailand',2013
,,,,0,,,490,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,THA,764,b'Thailand',2013
,,,,0,,,30,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,THA,764,b'Thailand',2013
,,,,0,6463.0,,815992,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,ARE,784,b'United Arab Emirates',2013
,,,,0,3230.0,,3595,4,8542,Electronic integrated circuits,,,0,,,2013,2013,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,ARE,784,b'United Arab Emirates',2013
