AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,56.0,,8040,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,AUS,36,b'Australia',2014
,,,,0,5.0,,2538,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,AUS,36,b'Australia',2014
,,,,0,20.0,0.0,1889,4,8542,Electronic integrated circuits,,,2,,,2014,2014,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,AUT,40,b'Austria',2014
,,,,0,70.0,0.0,7874,4,8542,Electronic integrated circuits,,,6,,,2014,2014,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2014
,,,,0,33.0,4428.0,4695,4,8542,Electronic integrated circuits,,,6,,,2014,2014,H4,DZA,,12,,b'Algeria',,,,5,Number of items,2,Export,AUT,40,b'Austria',2014
,,,,0,24.0,,2916,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2014
,,,,0,147.0,,290104,4,8542,Electronic integrated circuits,,,4,,,2014,2014,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2014
,,,,0,58.0,,45919,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,BRA,76,b'Brazil',2014
,,,,0,10.0,,9031,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BGR,100,b'Bulgaria',2014
,,,,0,,,5799,4,8542,Electronic integrated circuits,,,0,,,2014,2014,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,CAN,124,b'Canada',2014
,,,,0,2.0,,2628,4,8542,Electronic integrated circuits,,,4,,,2014,2014,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,CAN,124,b'Canada',2014
,,,,0,6.0,,4923,4,8542,Electronic integrated circuits,,,4,,,2014,2014,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,CAN,124,b'Canada',2014
