AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,4.0,1,4986,4,8542,Electronic integrated circuits,,,4,,,2017,2017,H5,ASM,,16,,b'American Samoa',,,,5,Number of items,1,Import,AUS,36,b'Australia',2017
,,,,0,,2,2300,4,8542,Electronic integrated circuits,,,4,,,2017,2017,H5,ASM,,16,,b'American Samoa',,,,5,Number of items,2,Export,AUS,36,b'Australia',2017
,,,,0,26.0,0,19992,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2017
,,,,0,4.0,0,1377,4,8542,Electronic integrated circuits,,,6,,,2017,2017,H5,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2017
,,,,0,17821.0,0,41529,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,BEL,56,b'Belgium',2017
,,,,0,18.0,0,2900,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2017
,,,,0,108.0,0,4422,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,DZA,,12,,b'Algeria',,,,1,No Quantity,1,Import,BEL,56,b'Belgium',2017
,,,,0,41.0,0,43668,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2017
,,,,0,3.0,3000,509,4,8542,Electronic integrated circuits,,,0,,,2017,2017,H5,AFG,,4,,b'Afghanistan',,,,5,Number of items,1,Import,BRA,76,b'Brazil',2017
,,,,0,2.0,0,760,4,8542,Electronic integrated circuits,,,6,,,2017,2017,H5,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BGR,100,b'Bulgaria',2017
,,,,0,0.0,1,1537,4,8542,Electronic integrated circuits,,,0,,,2017,2017,H5,ALB,,8,,b'Albania',,,,5,Number of items,2,Export,CAN,124,b'Canada',2017
,,,,0,0.0,0,16005,4,8542,Electronic integrated circuits,,,0,,,2017,2017,H5,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CAN,124,b'Canada',2017
,,,,0,9.0,0,19488,4,8542,Electronic integrated circuits,,,6,,,2017,2017,H5,AFG,,4,,b'Afghanistan',,,,1,No Quantity,1,Import,CHN,156,b'China',2017
,,,,0,2.0,0,808,4,8542,Electronic integrated circuits,,,6,,,2017,2017,H5,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,CHN,156,b'China',2017
,,,,0,158.0,0,4658,4,8542,Electronic integrated circuits,,,2,,,2017,2017,H5,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,CHN,156,b'China',2017
