time,theta,omega

0,0.1,0
0.05,0.09755,-0.04900000000000001
0.1,0.092710025,-0.09679950000000001
0.15000000000000002,0.0855986543875,-0.14222741225000002
0.2,0.07639011674250624,-0.18417075289987503
0.25,0.06531002123732109,-0.2216019101037031
0.3,0.05262983021182157,-0.2536038205099904
0.35,0.038660208346132416,-0.279392437313783
0.39999999999999997,0.023743411375963024,-0.2983359394033879
0.44999999999999996,0.008244900827082536,-0.30997021097760974
0.49999999999999994,-0.007455609792061476,-0.3140102123828802
0.5499999999999999,-0.02297345797129998,-0.31035696358477005
0.6,-0.03792845643024163,-0.2990999691788331
0.65,-0.051954207706642365,-0.28051502552801466
0.7000000000000001,-0.06470708089423036,-0.2550574637517599
0.7500000000000001,-0.0758746305999097,-0.22335099411358703
0.8000000000000002,-0.08518325185589126,-0.18617242511963128
0.8500000000000002,-0.09240488344140349,-0.14443263171024456
0.9000000000000002,-0.09736259538260134,-0.09915423882395685
0.9500000000000003,-0.09993492373692545,-0.05144656708648219
1.0000000000000002,-0.10005884645969489,-0.002478454455388711
1.0500000000000003,-0.0977313274442018,0.046550380309861784
1.1000000000000003,-0.09300939090632576,0.09443873075752067
1.1500000000000004,-0.08600872429124475,0.1400133323016203
1.2000000000000004,-0.07690084393102824,0.18215760720433022
1.2500000000000004,-0.06590889289450153,0.21983902073053407
1.3000000000000005,-0.05330217398205953,0.25213437824883983
1.3500000000000005,-0.03938955180705708,0.278252443500049
1.4000000000000006,-0.024511885612781732,0.297553323885507
1.4500000000000006,-0.00903367822099323,0.30956414783577
1.5000000000000007,0.006665854287209606,0.3139906501640567
1.5500000000000007,0.022202073365375805,0.310724381563324
1.6000000000000008,0.0371943416460903,0.29984536561428987
1.6500000000000008,0.05127534855647558,0.28162013820770565
1.7000000000000008,0.06410010942722721,0.2564952174150326
1.7500000000000009,0.07535441761701178,0.22508616379569127
1.800000000000001,0.08476254257517955,0.18816249916335548
1.850000000000001,0.09209398524025543,0.14662885330151748
1.900000000000001,0.09716912526694504,0.10150280053379232
1.950000000000001,0.09986362172459451,0.05388992915298924
2.000000000000001,0.1001114594499914,0.0049567545079379285
2.0500000000000007,0.09790656641886351,-0.04409786062255787
2.1000000000000005,0.09330296251047346,-0.092072078167801
2.1500000000000004,0.08641343602057681,-0.137790529797933
2.2,0.07740678034817604,-0.18013311344801564
2.25,0.06650365855724494,-0.2180624358186219
2.3,0.05397119713166134,-0.25064922851167193
2.3499999999999996,0.040116441376352036,-0.277095115106186
2.3999999999999995,0.02527883280732211,-0.2967521713805985
2.4499999999999993,0.009821892834512793,-0.30913879945618633
2.499999999999999,-0.005875683512742086,-0.3139515269450976
2.549999999999999,-0.021429305613934788,-0.311072442023854
2.5999999999999988,-0.036457909727586085,-0.30057208227302595
2.6499999999999986,-0.050593295052911526,-0.2827077065065088
2.6999999999999984,-0.06348914464944064,-0.25791699193058215
2.7499999999999982,-0.07482951020205846,-0.22680731105235624
2.799999999999998,-0.08433655275472583,-0.1901408510533476
2.849999999999998,-0.09177734976490243,-0.14881594020353195
2.8999999999999977,-0.09696960170583892,-0.10384503881872975
2.9499999999999975,-0.09978609840498236,-0.056329933982868674
2.9999999999999973,-0.10015783569320372,-0.007434745764427313
3.049999999999997,-0.09807570600694158,0.04164259372524252
3.099999999999997,-0.09359072152350939,0.08969968966864389
3.149999999999997,-0.08681276436275122,0.1355591432151635
3.1999999999999966,-0.07790789447510564,0.17809739775291158
3.2499999999999964,-0.06709428117281997,0.21627226604571337
3.2999999999999963,-0.054636857981800215,0.24914846382039516
3.349999999999996,-0.04084083177022635,0.2759205242314773
3.399999999999996,-0.02604420518028194,0.2959325317988882
3.4499999999999957,-0.010609495563420623,0.30869419233722634
3.4999999999999956,0.0050851466947445,0.31389284516330246
3.5499999999999954,0.020655202858888385,0.31140112328287767
3.599999999999995,0.035719206552989505,0.3012800738820224
3.649999999999995,0.04990808968654238,0.28377766267105753
3.699999999999995,0.06287422462277498,0.25932269872465175
3.7499999999999947,0.07429994105574958,0.228514328659492
3.7999999999999945,0.08390530893285832,0.1921073575421747
3.8499999999999943,0.09145499674111202,0.15099375616507413
3.899999999999994,0.09676403712920847,0.10618080776192923
