time,theta

0,0.1
0.05,0.1
0.1,0.09755
0.15000000000000002,0.09271002499999999
0.2,0.08559865438749997
0.25,0.0763901167425062
0.3,0.06531002123732103
0.35,0.0526298302118215
0.39999999999999997,0.03866020834613234
0.44999999999999996,0.023743411375962937
0.49999999999999994,0.008244900827082442
0.5499999999999999,-0.007455609792061573
0.6,-0.022973457971300078
0.65,-0.03792845643024173
0.7000000000000001,-0.05195420770664246
0.7500000000000001,-0.06470708089423045
0.8000000000000002,-0.07587463059990979
0.8500000000000002,-0.08518325185589133
0.9000000000000002,-0.09240488344140353
0.9500000000000003,-0.09736259538260135
1.0000000000000002,-0.09993492373692543
1.0500000000000003,-0.10005884645969484
1.1000000000000003,-0.09773132744420174
1.1500000000000004,-0.09300939090632569
1.2000000000000004,-0.08600872429124466
1.2500000000000004,-0.07690084393102814
1.3000000000000005,-0.06590889289450143
1.3500000000000005,-0.05330217398205943
1.4000000000000006,-0.03938955180705697
1.4500000000000006,-0.024511885612781618
1.5000000000000007,-0.009033678220993114
1.5500000000000007,0.00666585428720972
1.6000000000000008,0.02220207336537592
1.6500000000000008,0.03719434164609041
1.7000000000000008,0.05127534855647568
1.7500000000000009,0.0641001094272273
1.800000000000001,0.07535441761701184
1.850000000000001,0.08476254257517958
1.900000000000001,0.09209398524025543
1.950000000000001,0.09716912526694502
2.000000000000001,0.09986362172459445
2.0500000000000007,0.10011145944999132
2.1000000000000005,0.0979065664188634
2.1500000000000004,0.09330296251047333
2.2,0.08641343602057666
2.25,0.07740678034817586
2.3,0.06650365855724474
2.3499999999999996,0.05397119713166113
2.3999999999999995,0.04011644137635182
2.4499999999999993,0.025278832807321888
2.499999999999999,0.009821892834512569
2.549999999999999,-0.005875683512742307
2.5999999999999988,-0.021429305613934996
2.6499999999999986,-0.03645790972758628
2.6999999999999984,-0.0505932950529117
2.7499999999999982,-0.06348914464944078
2.799999999999998,-0.07482951020205855
2.849999999999998,-0.08433655275472589
2.8999999999999977,-0.09177734976490244
2.9499999999999975,-0.09696960170583889
2.9999999999999973,-0.09978609840498229
3.049999999999997,-0.10015783569320362
3.099999999999997,-0.09807570600694146
3.149999999999997,-0.09359072152350924
3.1999999999999966,-0.08681276436275104
3.2499999999999964,-0.07790789447510543
3.2999999999999963,-0.06709428117281974
3.349999999999996,-0.05463685798179996
3.399999999999996,-0.04084083177022608
3.4499999999999957,-0.02604420518028166
3.4999999999999956,-0.010609495563420338
3.5499999999999954,0.00508514669474478
3.599999999999995,0.02065520285888865
3.649999999999995,0.03571920655298974
3.699999999999995,0.04990808968654258
3.7499999999999947,0.06287422462277513
3.7999999999999945,0.07429994105574968
3.8499999999999943,0.08390530893285836
3.899999999999994,0.091454996741112
3.949999999999994,0.0967640371292084
3.999999999999994,0.09970235860763921
4.049999999999994,0.10019797230018285
4.099999999999993,0.09823873567137201
4.149999999999993,0.09387265001861256
4.199999999999993,0.0872066844403971
4.249999999999993,0.07840415509339191
4.299999999999993,0.06768072394659862
4.3499999999999925,0.055299115063113656
4.399999999999992,0.04156267786058241
4.449999999999992,0.026807955050466896
4.499999999999992,0.011396437341614942
4.549999999999992,-0.004294293082106579
4.599999999999992,-0.01987981332531649
4.6499999999999915,-0.034978278142056146
4.699999999999991,-0.04921977514431542
4.749999999999991,-0.062255387655538966
4.799999999999991,-0.07376574316920181
4.849999999999991,-0.08346883797521921
4.899999999999991,-0.09112694625084375
4.94999999999999,-0.09655244434332261
4.99999999999999,-0.09961240754939006
5.04999999999999,-0.10023186677049746
5.09999999999999,-0.09839564525572767
5.14999999999999,-0.09414873043219255
5.1999999999999895,-0.08759517171306871
5.249999999999989,-0.0788955312869747
5.299999999999989,-0.0682629503443498
5.349999999999989,-0.055957927118288335
5.399999999999989,-0.04228193467782881
5.449999999999989,-0.027570034837762474
5.4999999999999885,-0.01218266914417096
5.549999999999988,0.003503171943452743
5.599999999999988,0.019103185318461852
5.649999999999988,0.034235170653168646
5.699999999999988,0.048528394306872814
5.749999999999988,0.06163267230005859
5.799999999999987,0.07322694982189293
5.849999999999987,0.0830271670730909
5.899999999999987,0.09079321873099813
5.949999999999987,0.09633483652999592
5.999999999999987,0.0995162508340088
6.0499999999999865,0.10025951699258845
6.099999999999986,0.09854642498484968
6.149999999999986,0.09441894556498209
6.199999999999986,0.08797820197877244
6.249999999999986,0.07938199244408287
6.299999999999986,0.06884092409451326
6.349999999999985,0.05661325310462807
6.399999999999985,0.0429985574136795
6.449999999999985,0.02833039706609578
6.499999999999985,0.01296814199039271
6.549999999999985,-0.0027118325640749807
6.5999999999999845,-0.018325367220722834
6.649999999999984,-0.03348993038046298
6.699999999999984,-0.04783399024588178
6.749999999999984,-0.06100611735027647
6.799999999999984,-0.0726835945795894
6.849999999999984,-0.08258032374170238
6.8999999999999835,-0.09045383497214365
6.949999999999983,-0.09611122724576741
6.999999999999983,-0.09941389445186988
7.049999999999983,-0.10028092124390153
7.099999999999983,-0.0986910654654576
7.149999999999983,-0.09468327858310994
7.199999999999982,-0.0883557513754761
7.249999999999982,-0.0798635082591431
7.299999999999982,-0.06941460919046108
7.349999999999982,-0.057265052196612765
7.399999999999982,-0.043712501423947434
7.4499999999999815,-0.02908899436639539
7.499999999999981,-0.013752806946866659
7.549999999999981,0.0019203242428603047
7.599999999999981,0.017546407488637193
7.649999999999981,0.03274260375094247
7.699999999999981,0.04713660622134966
7.7499999999999805,0.06037576183933378
7.79999999999998,0.07213571129225423
7.84999999999998,0.08212833581851443
7.89999999999998,0.09010881611722103
