exch
56.0850
56.2750
56.3570
55.8580
55.8370
56.1810
56.0090
56.2160
56.3360
56.3510
56.2310
56.2670
55.1120
54.7170
54.7930
54.3540
54.3670
55.9190
56.1050
56.1600
56.0550
55.0600
53.9990
53.0670
52.3360
52.0880
51.2840
51.8260
52.6540
53.5870
51.6240
50.9370
50.3870
49.8050
49.7630
49.1320
49.0270
48.2870
48.2620
47.5100
46.2690
46.3290
45.6110
46.6950
45.0630
43.9470
42.7980
41.4010
40.6500
40.3600
41.8680
42.1920
43.8820
44.7560
44.1400
45.6850
46.9170
48.7460
48.8800
47.4850
47.0760
48.2360
48.4190
48.7040
47.5480
48.3080
48.1210
48.9060
47.5920
47.7320
46.7520
46.3560
46.7430
46.2580
45.2200
44.6440
46.2120
46.3100
45.8130
45.1790
43.8960
43.1820
44.2550
43.8850
44.0880
43.8370
43.4320
43.0180
43.2910
43.4940
42.2270
42.5070
43.6360
43.0280
43.8100
43.9280
42.9460
42.8640
43.0000
42.4360
43.4510
42.2830
41.9070
42.3150
41.8800
41.2630
40.8830
41.1920
40.6530
40.7360
40.9380
41.1610
42.3760
43.3070
43.4020
44.6350
43.3090
43.1790
43.7360
44.4140
45.1550
44.6560
44.9960
44.4630
43.9270
43.7800
43.4210
43.6480
44.9660
44.8760
44.9160
44.6170
44.1320
44.0870
44.7960
44.2500
44.6500
45.2000
45.6180
46.7050
46.9260
46.8900
47.0690
47.1660
47.8230
47.5600
46.1080
46.7730
46.7750
46.9600
47.0850
46.4670
48.2570
48.5150
49.7770
49.8130
49.8140
50.2670
50.1940
49.6990
49.8670
50.4660
50.5820
51.1660
51.0730
51.7990
50.3650
49.9230
51.4210
52.0340
52.2070
51.9650
52.6890
53.5220
53.2630
53.4340
54.2510
53.6060
52.6080
52.7240
52.3520
